PROCESS_DT,DLVR_STORE_SIDO,DLVR_STORE_INDUTY_NM,GOODS_AMOUNT
2020-01-09 00:00:00,경기도,족발/보쌈,37400500
2020-01-09 00:00:00,경기도,중식,9666300
2020-01-09 00:00:00,경기도,찜탕,14210800
2020-01-09 00:00:00,경기도,치킨,63190600
2020-01-09 00:00:00,경기도,카페/디저트,16002051
2020-01-09 00:00:00,경기도,패스트푸드,14943800
2020-01-09 00:00:00,경기도,피자,13106341
2020-01-09 00:00:00,경기도,한식,43494500
2020-01-09 00:00:00,경기도,회,9199100
2020-01-10 00:00:00,경기도,도시락,3617080
2020-01-10 00:00:00,경기도,돈까스/일식,25955900
2020-01-10 00:00:00,경기도,배달전문업체,5009500
2020-01-10 00:00:00,경기도,분식,31025700
2020-01-10 00:00:00,경기도,심부름,143100
2020-01-10 00:00:00,경기도,아시안/양식,6653190
2020-01-10 00:00:00,경기도,야식,23988008
2020-01-10 00:00:00,경기도,족발/보쌈,55221200
2020-01-10 00:00:00,경기도,중식,11737800
2020-01-10 00:00:00,경기도,찜탕,16274350
2020-01-10 00:00:00,경기도,치킨,83129001
2020-01-10 00:00:00,경기도,카페/디저트,17388350
2020-01-10 00:00:00,경기도,패스트푸드,15234000
2020-01-10 00:00:00,경기도,피자,15567350
2020-01-10 00:00:00,경기도,한식,49675600
2020-01-10 00:00:00,경기도,회,13686400
2020-01-11 00:00:00,경기도,도시락,3568650
2020-01-11 00:00:00,경기도,돈까스/일식,29211801
2020-01-11 00:00:00,경기도,배달전문업체,6490700
2020-01-11 00:00:00,경기도,분식,35841300
2020-01-11 00:00:00,경기도,심부름,836300
2020-01-11 00:00:00,경기도,아시안/양식,8892200
2020-01-11 00:00:00,경기도,야식,28468700
2020-01-11 00:00:00,경기도,족발/보쌈,68838900
2020-01-11 00:00:00,경기도,중식,16266100
2020-01-11 00:00:00,경기도,찜탕,22365800
2020-01-11 00:00:00,경기도,치킨,91187108
2020-01-11 00:00:00,경기도,카페/디저트,24004300
2020-01-11 00:00:00,경기도,패스트푸드,18270800
2020-01-11 00:00:00,경기도,피자,20632865
2020-01-11 00:00:00,경기도,한식,61190900
2020-01-11 00:00:00,경기도,회,19210400
2020-01-12 00:00:00,경기도,도시락,3263410
2020-01-12 00:00:00,경기도,돈까스/일식,28262400
2020-01-12 00:00:00,경기도,배달전문업체,6267700
2020-01-12 00:00:00,경기도,분식,40687702
2020-01-12 00:00:00,경기도,심부름,324600
2020-01-12 00:00:00,경기도,아시안/양식,9992580
2020-01-12 00:00:00,경기도,야식,23107902
2020-01-12 00:00:00,경기도,족발/보쌈,59000200
2020-01-12 00:00:00,경기도,중식,17479200
2020-01-12 00:00:00,경기도,찜탕,25846950
2020-01-12 00:00:00,경기도,치킨,87202700
2020-01-12 00:00:00,경기도,카페/디저트,26439801
2020-01-12 00:00:00,경기도,패스트푸드,21441278
2020-01-12 00:00:00,경기도,피자,24771115
2020-01-12 00:00:00,경기도,한식,63084300
2020-01-12 00:00:00,경기도,회,14806400
2020-01-13 00:00:00,경기도,도시락,3244950
2020-01-13 00:00:00,경기도,돈까스/일식,19811400
2020-01-13 00:00:00,경기도,배달전문업체,4405400
2020-01-13 00:00:00,경기도,분식,28054000
2020-01-13 00:00:00,경기도,심부름,388100
2020-01-13 00:00:00,경기도,아시안/양식,5516650
2020-01-13 00:00:00,경기도,야식,13997500
2020-01-13 00:00:00,경기도,족발/보쌈,36754700
2020-01-13 00:00:00,경기도,중식,10234600
2020-01-13 00:00:00,경기도,찜탕,15379000
2020-01-13 00:00:00,경기도,치킨,53560200
2020-01-13 00:00:00,경기도,카페/디저트,22492050
2020-01-13 00:00:00,경기도,패스트푸드,13322100
2020-01-13 00:00:00,경기도,피자,14181350
2020-01-13 00:00:00,경기도,한식,45060598
2020-01-13 00:00:00,경기도,회,7105600
2020-01-14 00:00:00,경기도,도시락,3595310
2020-01-14 00:00:00,경기도,돈까스/일식,19743200
2020-01-14 00:00:00,경기도,배달전문업체,4888800
2020-01-14 00:00:00,경기도,분식,26230400
2020-01-14 00:00:00,경기도,심부름,245100
2020-01-14 00:00:00,경기도,아시안/양식,5175600
2020-01-14 00:00:00,경기도,야식,15775400
2020-01-14 00:00:00,경기도,족발/보쌈,37494100
2020-01-14 00:00:00,경기도,중식,9193700
2020-01-14 00:00:00,경기도,찜탕,15451050
2020-01-14 00:00:00,경기도,치킨,56278300
2020-01-14 00:00:00,경기도,카페/디저트,20036550
2020-01-14 00:00:00,경기도,패스트푸드,14058900
2020-01-14 00:00:00,경기도,피자,11066040
2020-01-14 00:00:00,경기도,한식,47079200
2020-01-14 00:00:00,경기도,회,6534400
2020-01-15 00:00:00,경기도,도시락,2987010
2020-01-15 00:00:00,경기도,돈까스/일식,21237699
2020-01-15 00:00:00,경기도,배달전문업체,3790000
2020-01-15 00:00:00,경기도,분식,28311900
2020-01-15 00:00:00,경기도,심부름,107500
2020-01-15 00:00:00,경기도,아시안/양식,6198000
2020-01-15 00:00:00,경기도,야식,16864300
2020-01-15 00:00:00,경기도,족발/보쌈,39582350
2020-01-15 00:00:00,경기도,중식,11274000
2020-01-15 00:00:00,경기도,찜탕,15561250
2020-01-15 00:00:00,경기도,치킨,63465910
2020-01-15 00:00:00,경기도,카페/디저트,17953600
2020-01-15 00:00:00,경기도,패스트푸드,14699199
2020-01-15 00:00:00,경기도,피자,14758230
2020-01-15 00:00:00,경기도,한식,46877700
2020-01-15 00:00:00,경기도,회,8866800
2020-01-16 00:00:00,경기도,도시락,4023050
2020-01-16 00:00:00,경기도,돈까스/일식,19915300
2020-01-16 00:00:00,경기도,배달전문업체,4902500
2020-01-16 00:00:00,경기도,분식,27165700
2020-01-16 00:00:00,경기도,심부름,182500
2020-01-16 00:00:00,경기도,아시안/양식,6323390
2020-01-16 00:00:00,경기도,야식,17378300
2020-01-16 00:00:00,경기도,족발/보쌈,40264250
2020-01-16 00:00:00,경기도,중식,10337300
2020-01-16 00:00:00,경기도,찜탕,16328700
2020-01-16 00:00:00,경기도,치킨,63700699
2020-01-16 00:00:00,경기도,카페/디저트,18509000
2020-01-16 00:00:00,경기도,패스트푸드,14513100
2020-01-16 00:00:00,경기도,피자,14395190
2020-01-16 00:00:00,경기도,한식,44315800
2020-01-16 00:00:00,경기도,회,8070900
2020-01-17 00:00:00,경기도,도시락,3020250
2020-01-17 00:00:00,경기도,돈까스/일식,23826200
2020-01-17 00:00:00,경기도,배달전문업체,5612700
2020-01-17 00:00:00,경기도,분식,29277900
2020-01-17 00:00:00,경기도,심부름,75000
2020-01-17 00:00:00,경기도,아시안/양식,5995470
2020-01-17 00:00:00,경기도,야식,22748100
2020-01-17 00:00:00,경기도,족발/보쌈,48718000
2020-01-17 00:00:00,경기도,중식,10751600
2020-01-17 00:00:00,경기도,찜탕,16210650
2020-01-17 00:00:00,경기도,치킨,81139400
2020-01-17 00:00:00,경기도,카페/디저트,23421350
2020-01-17 00:00:00,경기도,패스트푸드,14745800
2020-01-17 00:00:00,경기도,피자,15990455
2020-01-17 00:00:00,경기도,한식,46047931
2020-01-17 00:00:00,경기도,회,12043200
2020-01-18 00:00:00,경기도,도시락,2681660
2020-01-18 00:00:00,경기도,돈까스/일식,29351598
2020-01-18 00:00:00,경기도,배달전문업체,5949300
2020-01-18 00:00:00,경기도,분식,36559600
2020-01-18 00:00:00,경기도,심부름,398800
2020-01-18 00:00:00,경기도,아시안/양식,8723860
2020-01-18 00:00:00,경기도,야식,25753108
2020-01-18 00:00:00,경기도,족발/보쌈,58882250
2020-01-18 00:00:00,경기도,중식,16054200
2020-01-18 00:00:00,경기도,찜탕,24197550
2020-01-18 00:00:00,경기도,치킨,85651400
2020-01-18 00:00:00,경기도,카페/디저트,28120880
2020-01-18 00:00:00,경기도,패스트푸드,18390920
2020-01-18 00:00:00,경기도,피자,21774960
2020-01-18 00:00:00,경기도,한식,54688600
2020-01-18 00:00:00,경기도,회,19831600
2020-01-19 00:00:00,경기도,도시락,2195160
2020-01-19 00:00:00,경기도,돈까스/일식,26026300
2020-01-19 00:00:00,경기도,배달전문업체,5937200
2020-01-19 00:00:00,경기도,분식,38425400
2020-01-19 00:00:00,경기도,심부름,449700
2020-01-19 00:00:00,경기도,아시안/양식,8828860
2020-01-19 00:00:00,경기도,야식,23800200
2020-01-19 00:00:00,경기도,족발/보쌈,54144950
2020-01-19 00:00:00,경기도,중식,15885500
2020-01-19 00:00:00,경기도,찜탕,26302400
2020-01-19 00:00:00,경기도,치킨,79659300
2020-01-19 00:00:00,경기도,카페/디저트,26153050
2020-01-19 00:00:00,경기도,패스트푸드,20470660
2020-01-19 00:00:00,경기도,피자,23890416
2020-01-19 00:00:00,경기도,한식,63697200
2020-01-19 00:00:00,경기도,회,13051900
2020-01-20 00:00:00,경기도,도시락,3415300
2020-01-20 00:00:00,경기도,돈까스/일식,18692800
2020-01-20 00:00:00,경기도,배달전문업체,3468800
2020-01-20 00:00:00,경기도,분식,27462800
2020-01-20 00:00:00,경기도,심부름,270300
2020-01-20 00:00:00,경기도,아시안/양식,5973160
2020-01-20 00:00:00,경기도,야식,15677200
2020-01-20 00:00:00,경기도,족발/보쌈,33614600
2020-01-20 00:00:00,경기도,중식,10362000
2020-01-20 00:00:00,경기도,찜탕,15339300
2020-01-20 00:00:00,경기도,치킨,51496900
2020-01-20 00:00:00,경기도,카페/디저트,14075850
2020-01-20 00:00:00,경기도,패스트푸드,13978100
2020-01-20 00:00:00,경기도,피자,12089855
2020-01-20 00:00:00,경기도,한식,44632600
2020-01-20 00:00:00,경기도,회,6619100
2020-01-21 00:00:00,경기도,도시락,3449980
2020-01-21 00:00:00,경기도,돈까스/일식,20462000
2020-01-21 00:00:00,경기도,배달전문업체,4095700
2020-01-21 00:00:00,경기도,분식,25951700
2020-01-21 00:00:00,경기도,심부름,165900
2020-01-21 00:00:00,경기도,아시안/양식,5017790
2020-01-21 00:00:00,경기도,야식,17440900
2020-01-21 00:00:00,경기도,족발/보쌈,37422150
2020-01-21 00:00:00,경기도,중식,8637900
2020-01-21 00:00:00,경기도,찜탕,14054200
2020-01-21 00:00:00,경기도,치킨,56595000
2020-01-21 00:00:00,경기도,카페/디저트,13622330
2020-01-21 00:00:00,경기도,패스트푸드,14356500
2020-01-21 00:00:00,경기도,피자,13915835
2020-01-21 00:00:00,경기도,한식,46053400
2020-01-21 00:00:00,경기도,회,7298500
2020-01-22 00:00:00,경기도,도시락,3597930
2020-01-22 00:00:00,경기도,돈까스/일식,21794700
2020-01-22 00:00:00,경기도,배달전문업체,5050600
2020-01-22 00:00:00,경기도,분식,26563400
2020-01-22 00:00:00,경기도,심부름,119400
2020-01-22 00:00:00,경기도,아시안/양식,6272300
2020-01-22 00:00:00,경기도,야식,17591100
2020-01-22 00:00:00,경기도,족발/보쌈,39165300
2020-01-22 00:00:00,경기도,중식,10875600
2020-01-22 00:00:00,경기도,찜탕,14679850
2020-01-22 00:00:00,경기도,치킨,67647000
2020-01-22 00:00:00,경기도,카페/디저트,13931000
2020-01-22 00:00:00,경기도,패스트푸드,14604001
2020-01-22 00:00:00,경기도,피자,14985860
2020-01-22 00:00:00,경기도,한식,44625300
2020-01-22 00:00:00,경기도,회,8946100
2020-01-23 00:00:00,경기도,도시락,3955660
2020-01-23 00:00:00,경기도,돈까스/일식,24463000
2020-01-23 00:00:00,경기도,배달전문업체,4850600
2020-01-23 00:00:00,경기도,분식,29097200
2020-01-23 00:00:00,경기도,심부름,401300
2020-01-23 00:00:00,경기도,아시안/양식,6909570
2020-01-23 00:00:00,경기도,야식,22196909
2020-01-23 00:00:00,경기도,족발/보쌈,53285449
